name,EOS,A(km),omega_0(rad/s),ndata
A300w10.50_HSDD2,HSDD2,300,10,17133
A300w10.50_HSFSG,HSFSG,300,10,17131
A300w10.50_HSIUF,HSIUF,300,10,17132
A300w10.50_HSNL3,HSNL3,300,10,17129
A300w10.50_HSTM1,HSTM1,300,10,17130
A300w10.50_HSTMA,HSTMA,300,10,17136
A300w10.50_HShen,HShen,300,10,14533
A300w10.50_HShenH,HShenH,300,10,14416
A300w10.50_LS180,LS180,300,10,18557
A300w10.50_LS220,LS220,300,10,18439
A300w10.50_LS375,LS375,300,10,18271
A300w10.50_SFHo,SFHo,300,10,17126
A300w10.50_SFHx,SFHx,300,10,17124
A300w11.00_BHBL,BHBL,300,11,17382
A300w11.00_BHBLP,BHBLP,300,11,17381
A300w11.00_GShenFSU1.7,GShenFSU1.7,300,11,24248
A300w11.00_GShenFSU2.1,GShenFSU2.1,300,11,24243
A300w11.00_GShenNL3,GShenNL3,300,11,27487
A300w11.00_HSDD2,HSDD2,300,11,17395
A300w11.00_HSFSG,HSFSG,300,11,17393
A300w11.00_HSIUF,HSIUF,300,11,17395
A300w11.00_HSNL3,HSNL3,300,11,17386
A300w11.00_HSTM1,HSTM1,300,11,17388
A300w11.00_HSTMA,HSTMA,300,11,17395
A300w11.00_HShen,HShen,300,11,14691
A300w11.00_HShenH,HShenH,300,11,14600
A300w11.00_LS180,LS180,300,11,18953
A300w11.00_LS220,LS220,300,11,18836
A300w11.00_LS375,LS375,300,11,18664
A300w11.00_SFHo,SFHo,300,11,17391
A300w11.00_SFHx,SFHx,300,11,17382
A300w11.50_BHBL,BHBL,300,11,17661
A300w11.50_BHBLP,BHBLP,300,11,17666
A300w11.50_GShenFSU1.7,GShenFSU1.7,300,11,25061
A300w11.50_GShenFSU2.1,GShenFSU2.1,300,11,25030
A300w11.50_GShenNL3,GShenNL3,300,11,28698
A300w11.50_HSDD2,HSDD2,300,11,17675
A300w11.50_HSFSG,HSFSG,300,11,17680
A300w11.50_HSIUF,HSIUF,300,11,17681
A300w11.50_HSNL3,HSNL3,300,11,17677
A300w11.50_HSTM1,HSTM1,300,11,17676
A300w11.50_HSTMA,HSTMA,300,11,17682
A300w11.50_HShen,HShen,300,11,14846
A300w11.50_HShenH,HShenH,300,11,14806
A300w11.50_LS180,LS180,300,11,19391
A300w11.50_LS220,LS220,300,11,19286
A300w11.50_LS375,LS375,300,11,19105
A300w11.50_SFHo,SFHo,300,11,17676
A300w11.50_SFHx,SFHx,300,11,17675
A300w12.00_BHBL,BHBL,300,12,17979
A300w12.00_BHBLP,BHBLP,300,12,17978
A300w12.00_GShenFSU1.7,GShenFSU1.7,300,12,25999
A300w12.00_GShenFSU2.1,GShenFSU2.1,300,12,26004
A300w12.00_GShenNL3,GShenNL3,300,12,30102
A300w12.00_HSDD2,HSDD2,300,12,17993
A300w12.00_HSFSG,HSFSG,300,12,17993
A300w12.00_HSIUF,HSIUF,300,12,17991
A300w12.00_HSNL3,HSNL3,300,12,17989
A300w12.00_HSTM1,HSTM1,300,12,17988
A300w12.00_HSTMA,HSTMA,300,12,17995
A300w12.00_HShen,HShen,300,12,15025
A300w12.00_HShenH,HShenH,300,12,14977
A300w12.00_LS180,LS180,300,12,19884
A300w12.00_LS220,LS220,300,12,19785
A300w12.00_LS375,LS375,300,12,19601
A300w12.00_SFHo,SFHo,300,12,17985
A300w12.00_SFHx,SFHx,300,12,17981
A300w12.50_BHBL,BHBL,300,12,18320
A300w12.50_BHBLP,BHBLP,300,12,18321
A300w12.50_GShenFSU1.7,GShenFSU1.7,300,12,27073
A300w12.50_GShenFSU2.1,GShenFSU2.1,300,12,27077
A300w12.50_GShenNL3,GShenNL3,300,12,31730
A300w12.50_HSDD2,HSDD2,300,12,18333
A300w12.50_HSFSG,HSFSG,300,12,18336
A300w12.50_HSIUF,HSIUF,300,12,18338
A300w12.50_HSNL3,HSNL3,300,12,18332
A300w12.50_HSTM1,HSTM1,300,12,18332
A300w12.50_HSTMA,HSTMA,300,12,18333
A300w12.50_HShen,HShen,300,12,15218
A300w12.50_HShenH,HShenH,300,12,15192
A300w12.50_LS180,LS180,300,12,20436
A300w12.50_LS220,LS220,300,12,20352
A300w12.50_LS375,LS375,300,12,20159
A300w12.50_SFHo,SFHo,300,12,18333
A300w12.50_SFHx,SFHx,300,12,18330
A300w13.00_BHBL,BHBL,300,13,18694
A300w13.00_BHBLP,BHBLP,300,13,18694
A300w13.00_GShenFSU1.7,GShenFSU1.7,300,13,28304
A300w13.00_GShenFSU2.1,GShenFSU2.1,300,13,28306
A300w13.00_GShenNL3,GShenNL3,300,13,33531
A300w13.00_HSDD2,HSDD2,300,13,18708
A300w13.00_HSFSG,HSFSG,300,13,18712
A300w13.00_HSIUF,HSIUF,300,13,18710
A300w13.00_HSNL3,HSNL3,300,13,18710
A300w13.00_HSTM1,HSTM1,300,13,18708
A300w13.00_HSTMA,HSTMA,300,13,18710
A300w13.00_HShen,HShen,300,13,15425
A300w13.00_HShenH,HShenH,300,13,15354
A300w13.00_LS180,LS180,300,13,21064
A300w13.00_LS220,LS220,300,13,20995
A300w13.00_LS375,LS375,300,13,20798
A300w13.00_SFHo,SFHo,300,13,18706
A300w13.00_SFHx,SFHx,300,13,18703
A300w13.50_BHBL,BHBL,300,13,19110
A300w13.50_BHBLP,BHBLP,300,13,19106
A300w13.50_GShenFSU1.7,GShenFSU1.7,300,13,29719
A300w13.50_GShenFSU2.1,GShenFSU2.1,300,13,29715
A300w13.50_GShenNL3,GShenNL3,300,13,35406
A300w13.50_HSDD2,HSDD2,300,13,19124
A300w13.50_HSFSG,HSFSG,300,13,19122
A300w13.50_HSIUF,HSIUF,300,13,19123
A300w13.50_HSNL3,HSNL3,300,13,19121
A300w13.50_HSTM1,HSTM1,300,13,19120
A300w13.50_HSTMA,HSTMA,300,13,19127
A300w13.50_HShen,HShen,300,13,15643
A300w13.50_HShenH,HShenH,300,13,15633
A300w13.50_LS180,LS180,300,13,21797
A300w13.50_LS220,LS220,300,13,21725
A300w13.50_LS375,LS375,300,13,21519
A300w13.50_SFHo,SFHo,300,13,19126
A300w13.50_SFHx,SFHx,300,13,19113
A300w14.00_BHBL,BHBL,300,14,19567
A300w14.00_BHBLP,BHBLP,300,14,19566
A300w14.00_GShenFSU1.7,GShenFSU1.7,300,14,31309
A300w14.00_GShenFSU2.1,GShenFSU2.1,300,14,31336
A300w14.00_GShenNL3,GShenNL3,300,14,37843
A300w14.00_HSDD2,HSDD2,300,14,19582
A300w14.00_HSFSG,HSFSG,300,14,19523
A300w14.00_HSIUF,HSIUF,300,14,19580
A300w14.00_HSNL3,HSNL3,300,14,19580
A300w14.00_HSTM1,HSTM1,300,14,19582
A300w14.00_HSTMA,HSTMA,300,14,19588
A300w14.00_HShen,HShen,300,14,15881
A300w14.00_HShenH,HShenH,300,14,15865
A300w14.00_LS180,LS180,300,14,22655
A300w14.00_LS220,LS220,300,14,22580
A300w14.00_LS375,LS375,300,14,22348
A300w14.00_SFHo,SFHo,300,14,19582
A300w14.00_SFHx,SFHx,300,14,19574
A300w14.50_BHBL,BHBL,300,14,20070
A300w14.50_BHBLP,BHBLP,300,14,20073
A300w14.50_GShenFSU1.7,GShenFSU1.7,300,14,33415
A300w14.50_GShenFSU2.1,GShenFSU2.1,300,14,33419
A300w14.50_GShenNL3,GShenNL3,300,14,42268
A300w14.50_HSDD2,HSDD2,300,14,20092
A300w14.50_HSFSG,HSFSG,300,14,20093
A300w14.50_HSIUF,HSIUF,300,14,20091
A300w14.50_HSNL3,HSNL3,300,14,20088
A300w14.50_HSTM1,HSTM1,300,14,20090
A300w14.50_HSTMA,HSTMA,300,14,20096
A300w14.50_HShen,HShen,300,14,16141
A300w14.50_HShenH,HShenH,300,14,16130
A300w14.50_LS180,LS180,300,14,23646
A300w14.50_LS220,LS220,300,14,23609
A300w14.50_LS375,LS375,300,14,23351
A300w14.50_SFHo,SFHo,300,14,20085
A300w14.50_SFHx,SFHx,300,14,20086
A300w15.00_BHBL,BHBL,300,15,20636
A300w15.00_BHBLP,BHBLP,300,15,20632
A300w15.00_GShenFSU1.7,GShenFSU1.7,300,15,35790
A300w15.00_GShenFSU2.1,GShenFSU2.1,300,15,35791
A300w15.00_GShenNL3,GShenNL3,300,15,56839
A300w15.00_HSDD2,HSDD2,300,15,20657
A300w15.00_HSFSG,HSFSG,300,15,20657
A300w15.00_HSIUF,HSIUF,300,15,20663
A300w15.00_HSNL3,HSNL3,300,15,20657
A300w15.00_HSTM1,HSTM1,300,15,20653
A300w15.00_HSTMA,HSTMA,300,15,20658
A300w15.00_HShen,HShen,300,15,16420
A300w15.00_HShenH,HShenH,300,15,16405
A300w15.00_LS180,LS180,300,15,24803
A300w15.00_LS220,LS220,300,15,24846
A300w15.00_LS375,LS375,300,15,24569
A300w15.00_SFHo,SFHo,300,15,20654
A300w15.00_SFHx,SFHx,300,15,20650
A300w15.50_BHBL,BHBL,300,15,21266
A300w15.50_BHBLP,BHBLP,300,15,21265
A300w15.50_GShenFSU1.7,GShenFSU1.7,300,15,39318
A300w15.50_GShenFSU2.1,GShenFSU2.1,300,15,39318
A300w15.50_GShenNL3,GShenNL3,300,15,74434
A300w15.50_HSDD2,HSDD2,300,15,21291
A300w15.50_HSFSG,HSFSG,300,15,21289
A300w15.50_HSIUF,HSIUF,300,15,21288
A300w15.50_HSNL3,HSNL3,300,15,21284
A300w15.50_HSTM1,HSTM1,300,15,21288
A300w15.50_HSTMA,HSTMA,300,15,21297
A300w15.50_HShen,HShen,300,15,16726
A300w15.50_HShenH,HShenH,300,15,16716
A300w15.50_LS180,LS180,300,15,26204
A300w15.50_LS220,LS220,300,15,26322
A300w15.50_LS375,LS375,300,15,26042
A300w15.50_SFHo,SFHo,300,15,21287
A300w15.50_SFHx,SFHx,300,15,21285
A300w2.00_BHBL,BHBL,300,2,15014
A300w2.00_BHBLP,BHBLP,300,2,15014
A300w2.00_GShenFSU1.7,GShenFSU1.7,300,2,18588
A300w2.00_GShenFSU2.1,GShenFSU2.1,300,2,18591
A300w2.00_GShenNL3,GShenNL3,300,2,19651
A300w2.00_HSDD2,HSDD2,300,2,15021
A300w2.00_HSFSG,HSFSG,300,2,15017
A300w2.00_HSIUF,HSIUF,300,2,15018
A300w2.00_HSNL3,HSNL3,300,2,15018
A300w2.00_HSTM1,HSTM1,300,2,15016
A300w2.00_HSTMA,HSTMA,300,2,15020
A300w2.00_HShen,HShen,300,2,13218
A300w2.00_HShenH,HShenH,300,2,13210
A300w2.00_LS180,LS180,300,2,15625
A300w2.00_LS220,LS220,300,2,15529
A300w2.00_LS375,LS375,300,2,15403
A300w2.00_SFHo,SFHo,300,2,15021
A300w2.00_SFHx,SFHx,300,2,15013
A300w2.50_BHBL,BHBL,300,2,15050
A300w2.50_BHBLP,BHBLP,300,2,15051
A300w2.50_GShenFSU1.7,GShenFSU1.7,300,2,18664
A300w2.50_GShenFSU2.1,GShenFSU2.1,300,2,18661
A300w2.50_GShenNL3,GShenNL3,300,2,19766
A300w2.50_HSDD2,HSDD2,300,2,15058
A300w2.50_HSFSG,HSFSG,300,2,15057
A300w2.50_HSIUF,HSIUF,300,2,15056
A300w2.50_HSNL3,HSNL3,300,2,15057
A300w2.50_HSTM1,HSTM1,300,2,15054
A300w2.50_HSTMA,HSTMA,300,2,15060
A300w2.50_HShen,HShen,300,2,13246
A300w2.50_HShenH,HShenH,300,2,13236
A300w2.50_LS180,LS180,300,2,15674
A300w2.50_LS220,LS220,300,2,15572
A300w2.50_LS375,LS375,300,2,15451
A300w2.50_SFHo,SFHo,300,2,15056
A300w2.50_SFHx,SFHx,300,2,15048
A300w3.00_BHBL,BHBL,300,3,15097
A300w3.00_BHBLP,BHBLP,300,3,15102
A300w3.00_GShenFSU1.7,GShenFSU1.7,300,3,18758
A300w3.00_GShenFSU2.1,GShenFSU2.1,300,3,18759
A300w3.00_GShenNL3,GShenNL3,300,3,19832
A300w3.00_HSDD2,HSDD2,300,3,15100
A300w3.00_HSFSG,HSFSG,300,3,15103
A300w3.00_HSIUF,HSIUF,300,3,15103
A300w3.00_HSNL3,HSNL3,300,3,15102
A300w3.00_HSTM1,HSTM1,300,3,15099
A300w3.00_HSTMA,HSTMA,300,3,15104
A300w3.00_HShen,HShen,300,3,13277
A300w3.00_HShenH,HShenH,300,3,13264
A300w3.00_LS180,LS180,300,3,15734
A300w3.00_LS220,LS220,300,3,15635
A300w3.00_LS375,LS375,300,3,15506
A300w3.00_SFHo,SFHo,300,3,15102
A300w3.00_SFHx,SFHx,300,3,15098
A300w3.50_BHBL,BHBL,300,3,15153
A300w3.50_BHBLP,BHBLP,300,3,15154
A300w3.50_GShenFSU1.7,GShenFSU1.7,300,3,18876
A300w3.50_GShenFSU2.1,GShenFSU2.1,300,3,18870
A300w3.50_GShenNL3,GShenNL3,300,3,19967
A300w3.50_HSDD2,HSDD2,300,3,15158
A300w3.50_HSFSG,HSFSG,300,3,15155
A300w3.50_HSIUF,HSIUF,300,3,15158
A300w3.50_HSNL3,HSNL3,300,3,15158
A300w3.50_HSTM1,HSTM1,300,3,15154
A300w3.50_HSTMA,HSTMA,300,3,15161
A300w3.50_HShen,HShen,300,3,13310
A300w3.50_HShenH,HShenH,300,3,13304
A300w3.50_LS180,LS180,300,3,15805
A300w3.50_LS220,LS220,300,3,15707
A300w3.50_LS375,LS375,300,3,15578
A300w3.50_SFHo,SFHo,300,3,15159
A300w3.50_SFHx,SFHx,300,3,15152
A300w4.00_BHBL,BHBL,300,4,15216
A300w4.00_BHBLP,BHBLP,300,4,15219
A300w4.00_GShenFSU1.7,GShenFSU1.7,300,4,19007
A300w4.00_GShenFSU2.1,GShenFSU2.1,300,4,19004
A300w4.00_GShenNL3,GShenNL3,300,4,20104
A300w4.00_HSDD2,HSDD2,300,4,15220
A300w4.00_HSFSG,HSFSG,300,4,15221
A300w4.00_HSIUF,HSIUF,300,4,15221
A300w4.00_HSNL3,HSNL3,300,4,15222
A300w4.00_HSTM1,HSTM1,300,4,15221
A300w4.00_HSTMA,HSTMA,300,4,15227
A300w4.00_HShen,HShen,300,4,13354
A300w4.00_HShenH,HShenH,300,4,13346
A300w4.00_LS180,LS180,300,4,15890
A300w4.00_LS220,LS220,300,4,15790
A300w4.00_LS375,LS375,300,4,15661
A300w4.00_SFHo,SFHo,300,4,15220
A300w4.00_SFHx,SFHx,300,4,15216
A300w4.50_BHBL,BHBL,300,4,15290
A300w4.50_BHBLP,BHBLP,300,4,15288
A300w4.50_GShenFSU1.7,GShenFSU1.7,300,4,19160
A300w4.50_GShenFSU2.1,GShenFSU2.1,300,4,19161
A300w4.50_GShenNL3,GShenNL3,300,4,20328
A300w4.50_HSDD2,HSDD2,300,4,15296
A300w4.50_HSFSG,HSFSG,300,4,15300
A300w4.50_HSIUF,HSIUF,300,4,15296
A300w4.50_HSNL3,HSNL3,300,4,15294
A300w4.50_HSTM1,HSTM1,300,4,15294
A300w4.50_HSTMA,HSTMA,300,4,15296
A300w4.50_HShen,HShen,300,4,13403
A300w4.50_HShenH,HShenH,300,4,13395
A300w4.50_LS180,LS180,300,4,15988
A300w4.50_LS220,LS220,300,4,15884
A300w4.50_LS375,LS375,300,4,15752
A300w4.50_SFHo,SFHo,300,4,15293
A300w4.50_SFHx,SFHx,300,4,15292
A300w5.00_BHBL,BHBL,300,5,15374
A300w5.00_BHBLP,BHBLP,300,5,15376
A300w5.00_GShenFSU1.7,GShenFSU1.7,300,5,19334
A300w5.00_GShenFSU2.1,GShenFSU2.1,300,5,19335
A300w5.00_GShenNL3,GShenNL3,300,5,20494
A300w5.00_HSDD2,HSDD2,300,5,15382
A300w5.00_HSFSG,HSFSG,300,5,15383
A300w5.00_HSIUF,HSIUF,300,5,15382
A300w5.00_HSNL3,HSNL3,300,5,15379
A300w5.00_HSTM1,HSTM1,300,5,15376
A300w5.00_HSTMA,HSTMA,300,5,15382
A300w5.00_HShen,HShen,300,5,13461
A300w5.00_HShenH,HShenH,300,5,13447
A300w5.00_LS180,LS180,300,5,16095
A300w5.00_LS220,LS220,300,5,15993
A300w5.00_LS375,LS375,300,5,15861
A300w5.00_SFHo,SFHo,300,5,15378
A300w5.00_SFHx,SFHx,300,5,15371
A300w5.50_BHBL,BHBL,300,5,15470
A300w5.50_BHBLP,BHBLP,300,5,15472
A300w5.50_GShenFSU1.7,GShenFSU1.7,300,5,19538
A300w5.50_GShenFSU2.1,GShenFSU2.1,300,5,19537
A300w5.50_GShenNL3,GShenNL3,300,5,20791
A300w5.50_HSDD2,HSDD2,300,5,15473
A300w5.50_HSFSG,HSFSG,300,5,15473
A300w5.50_HSIUF,HSIUF,300,5,15477
A300w5.50_HSNL3,HSNL3,300,5,15470
A300w5.50_HSTM1,HSTM1,300,5,15469
A300w5.50_HSTMA,HSTMA,300,5,15474
A300w5.50_HShen,HShen,300,5,13517
A300w5.50_HShenH,HShenH,300,5,13507
A300w5.50_LS180,LS180,300,5,16223
A300w5.50_LS220,LS220,300,5,16115
A300w5.50_LS375,LS375,300,5,15983
A300w5.50_SFHo,SFHo,300,5,15474
A300w5.50_SFHx,SFHx,300,5,15470
A300w6.00_BHBL,BHBL,300,6,15571
A300w6.00_BHBLP,BHBLP,300,6,15575
A300w6.00_GShenFSU1.7,GShenFSU1.7,300,6,19761
A300w6.00_GShenFSU2.1,GShenFSU2.1,300,6,19763
A300w6.00_GShenNL3,GShenNL3,300,6,21272
A300w6.00_HSDD2,HSDD2,300,6,15576
A300w6.00_HSFSG,HSFSG,300,6,15580
A300w6.00_HSIUF,HSIUF,300,6,15578
A300w6.00_HSNL3,HSNL3,300,6,15580
A300w6.00_HSTM1,HSTM1,300,6,15577
A300w6.00_HSTMA,HSTMA,300,6,15579
A300w6.00_HShen,HShen,300,6,13586
A300w6.00_HShenH,HShenH,300,6,13576
A300w6.00_LS180,LS180,300,6,16363
A300w6.00_LS220,LS220,300,6,16257
A300w6.00_LS375,LS375,300,6,16119
A300w6.00_SFHo,SFHo,300,6,15578
A300w6.00_SFHx,SFHx,300,6,15574
A300w6.50_BHBL,BHBL,300,6,15692
A300w6.50_BHBLP,BHBLP,300,6,15690
A300w6.50_GShenFSU1.7,GShenFSU1.7,300,6,20015
A300w6.50_GShenFSU2.1,GShenFSU2.1,300,6,20017
A300w6.50_GShenNL3,GShenNL3,300,6,21597
A300w6.50_HSDD2,HSDD2,300,6,15695
A300w6.50_HSFSG,HSFSG,300,6,15695
A300w6.50_HSIUF,HSIUF,300,6,15696
A300w6.50_HSNL3,HSNL3,300,6,15694
A300w6.50_HSTM1,HSTM1,300,6,15691
A300w6.50_HSTMA,HSTMA,300,6,15698
A300w6.50_HShen,HShen,300,6,13657
A300w6.50_HShenH,HShenH,300,6,13649
A300w6.50_LS180,LS180,300,6,16520
A300w6.50_LS220,LS220,300,6,16407
A300w6.50_LS375,LS375,300,6,16269
A300w6.50_SFHo,SFHo,300,6,15690
A300w6.50_SFHx,SFHx,300,6,15687
A300w7.00_BHBL,BHBL,300,7,15816
A300w7.00_BHBLP,BHBLP,300,7,15817
A300w7.00_GShenFSU1.7,GShenFSU1.7,300,7,20297
A300w7.00_GShenFSU2.1,GShenFSU2.1,300,7,20299
A300w7.00_GShenNL3,GShenNL3,300,7,21971
A300w7.00_HSDD2,HSDD2,300,7,15823
A300w7.00_HSFSG,HSFSG,300,7,15825
A300w7.00_HSIUF,HSIUF,300,7,15826
A300w7.00_HSNL3,HSNL3,300,7,15817
A300w7.00_HSTM1,HSTM1,300,7,15819
A300w7.00_HSTMA,HSTMA,300,7,15822
A300w7.00_HShen,HShen,300,7,13735
A300w7.00_HShenH,HShenH,300,7,13728
A300w7.00_LS180,LS180,300,7,16695
A300w7.00_LS220,LS220,300,7,16581
A300w7.00_LS375,LS375,300,7,16442
A300w7.00_SFHo,SFHo,300,7,15817
A300w7.00_SFHx,SFHx,300,7,15817
A300w7.50_BHBL,BHBL,300,7,15957
A300w7.50_BHBLP,BHBLP,300,7,15957
A300w7.50_GShenFSU1.7,GShenFSU1.7,300,7,20619
A300w7.50_GShenFSU2.1,GShenFSU2.1,300,7,20620
A300w7.50_GShenNL3,GShenNL3,300,7,22396
A300w7.50_HSDD2,HSDD2,300,7,15964
A300w7.50_HSFSG,HSFSG,300,7,15962
A300w7.50_HSIUF,HSIUF,300,7,15962
A300w7.50_HSNL3,HSNL3,300,7,15964
A300w7.50_HSTM1,HSTM1,300,7,15959
A300w7.50_HSTMA,HSTMA,300,7,15966
A300w7.50_HShen,HShen,300,7,13827
A300w7.50_HShenH,HShenH,300,7,13816
A300w7.50_LS180,LS180,300,7,16882
A300w7.50_LS220,LS220,300,7,16770
A300w7.50_LS375,LS375,300,7,16630
A300w7.50_SFHo,SFHo,300,7,15964
A300w7.50_SFHx,SFHx,300,7,15959
A300w8.00_BHBL,BHBL,300,8,16112
A300w8.00_BHBLP,BHBLP,300,8,16114
A300w8.00_GShenFSU1.7,GShenFSU1.7,300,8,20975
A300w8.00_GShenFSU2.1,GShenFSU2.1,300,8,20975
A300w8.00_GShenNL3,GShenNL3,300,8,22870
A300w8.00_HSDD2,HSDD2,300,8,16116
A300w8.00_HSFSG,HSFSG,300,8,16119
A300w8.00_HSIUF,HSIUF,300,8,16119
A300w8.00_HSNL3,HSNL3,300,8,16118
A300w8.00_HSTM1,HSTM1,300,8,16113
A300w8.00_HSTMA,HSTMA,300,8,16121
A300w8.00_HShen,HShen,300,8,13923
A300w8.00_HShenH,HShenH,300,8,13915
A300w8.00_LS180,LS180,300,8,17100
A300w8.00_LS220,LS220,300,8,16983
A300w8.00_LS375,LS375,300,8,16835
A300w8.00_SFHo,SFHo,300,8,16117
A300w8.00_SFHx,SFHx,300,8,16110
A300w8.50_BHBL,BHBL,300,8,16278
A300w8.50_BHBLP,BHBLP,300,8,16280
A300w8.50_GShenFSU1.7,GShenFSU1.7,300,8,21379
A300w8.50_GShenFSU2.1,GShenFSU2.1,300,8,21377
A300w8.50_GShenNL3,GShenNL3,300,8,23417
A300w8.50_HSDD2,HSDD2,300,8,16288
A300w8.50_HSFSG,HSFSG,300,8,16287
A300w8.50_HSIUF,HSIUF,300,8,16290
A300w8.50_HSNL3,HSNL3,300,8,16283
A300w8.50_HSTM1,HSTM1,300,8,16282
A300w8.50_HSTMA,HSTMA,300,8,16283
A300w8.50_HShen,HShen,300,8,14029
A300w8.50_HShenH,HShenH,300,8,13780
A300w8.50_LS180,LS180,300,8,17333
A300w8.50_LS220,LS220,300,8,17216
A300w8.50_LS375,LS375,300,8,17064
A300w8.50_SFHo,SFHo,300,8,16284
A300w8.50_SFHx,SFHx,300,8,16279
A300w9.00_BHBL,BHBL,300,9,16463
A300w9.00_BHBLP,BHBLP,300,9,16458
A300w9.00_GShenFSU1.7,GShenFSU1.7,300,9,21823
A300w9.00_GShenFSU2.1,GShenFSU2.1,300,9,21822
A300w9.00_GShenNL3,GShenNL3,300,9,24032
A300w9.00_HSDD2,HSDD2,300,9,16470
A300w9.00_HSFSG,HSFSG,300,9,16471
A300w9.00_HSIUF,HSIUF,300,9,16473
A300w9.00_HSNL3,HSNL3,300,9,16466
A300w9.00_HSTM1,HSTM1,300,9,16469
A300w9.00_HSTMA,HSTMA,300,9,16476
A300w9.00_HShen,HShen,300,9,14140
A300w9.00_HShenH,HShenH,300,9,13920
A300w9.00_LS180,LS180,300,9,17594
A300w9.00_LS220,LS220,300,9,17480
A300w9.00_LS375,LS375,300,9,17324
A300w9.00_SFHo,SFHo,300,9,16469
A300w9.00_SFHx,SFHx,300,9,16462
A300w9.50_BHBL,BHBL,300,9,16662
A300w9.50_BHBLP,BHBLP,300,9,16666
A300w9.50_GShenFSU1.7,GShenFSU1.7,300,9,22329
A300w9.50_GShenFSU2.1,GShenFSU2.1,300,9,22329
A300w9.50_GShenNL3,GShenNL3,300,9,24634
A300w9.50_HSDD2,HSDD2,300,9,16671
A300w9.50_HSFSG,HSFSG,300,9,16671
A300w9.50_HSIUF,HSIUF,300,9,16674
A300w9.50_HSNL3,HSNL3,300,9,16668
A300w9.50_HSTM1,HSTM1,300,9,16673
A300w9.50_HSTMA,HSTMA,300,9,16675
A300w9.50_HShen,HShen,300,9,14260
A300w9.50_HShenH,HShenH,300,9,14087
A300w9.50_LS180,LS180,300,9,17880
A300w9.50_LS220,LS220,300,9,17762
A300w9.50_LS375,LS375,300,9,17606
A300w9.50_SFHo,SFHo,300,9,16673
A300w9.50_SFHx,SFHx,300,9,16664
A467w0.50_BHBL,BHBL,467,0,14958
A467w0.50_BHBLP,BHBLP,467,0,14956
A467w0.50_GShenFSU1.7,GShenFSU1.7,467,0,18478
A467w0.50_GShenFSU2.1,GShenFSU2.1,467,0,18477
A467w0.50_GShenNL3,GShenNL3,467,0,19648
A467w0.50_HSDD2,HSDD2,467,0,14962
A467w0.50_HSFSG,HSFSG,467,0,14961
A467w0.50_HSIUF,HSIUF,467,0,14960
A467w0.50_HSNL3,HSNL3,467,0,14958
A467w0.50_HSTM1,HSTM1,467,0,14960
A467w0.50_HSTMA,HSTMA,467,0,14965
A467w0.50_HShen,HShen,467,0,13180
A467w0.50_HShenH,HShenH,467,0,13173
A467w0.50_LS180,LS180,467,0,15548
A467w0.50_LS220,LS220,467,0,15452
A467w0.50_LS375,LS375,467,0,15151
A467w0.50_SFHo,SFHo,467,0,14961
A467w0.50_SFHx,SFHx,467,0,14956
A467w1.00_BHBL,BHBL,467,1,14984
A467w1.00_BHBLP,BHBLP,467,1,14984
A467w1.00_GShenFSU1.7,GShenFSU1.7,467,1,18530
A467w1.00_GShenFSU2.1,GShenFSU2.1,467,1,18513
A467w1.00_GShenNL3,GShenNL3,467,1,19717
A467w1.00_HSDD2,HSDD2,467,1,14989
A467w1.00_HSFSG,HSFSG,467,1,14987
A467w1.00_HSIUF,HSIUF,467,1,14990
A467w1.00_HSNL3,HSNL3,467,1,14980
A467w1.00_HSTM1,HSTM1,467,1,14988
A467w1.00_HSTMA,HSTMA,467,1,14993
A467w1.00_HShen,HShen,467,1,13199
A467w1.00_HShenH,HShenH,467,1,13192
A467w1.00_LS180,LS180,467,1,15587
A467w1.00_LS220,LS220,467,1,15486
A467w1.00_LS375,LS375,467,1,15362
A467w1.00_SFHo,SFHo,467,1,14986
A467w1.00_SFHx,SFHx,467,1,14982
A467w1.50_BHBL,BHBL,467,1,15030
A467w1.50_BHBLP,BHBLP,467,1,15032
A467w1.50_GShenFSU1.7,GShenFSU1.7,467,1,18626
A467w1.50_GShenFSU2.1,GShenFSU2.1,467,1,18623
A467w1.50_GShenNL3,GShenNL3,467,1,19837
A467w1.50_HSDD2,HSDD2,467,1,15035
A467w1.50_HSFSG,HSFSG,467,1,15038
A467w1.50_HSIUF,HSIUF,467,1,15036
A467w1.50_HSNL3,HSNL3,467,1,15033
A467w1.50_HSTM1,HSTM1,467,1,15031
A467w1.50_HSTMA,HSTMA,467,1,15034
A467w1.50_HShen,HShen,467,1,13230
A467w1.50_HShenH,HShenH,467,1,13220
A467w1.50_LS180,LS180,467,1,15641
A467w1.50_LS220,LS220,467,1,15546
A467w1.50_LS375,LS375,467,1,15417
A467w1.50_SFHo,SFHo,467,1,15035
A467w1.50_SFHx,SFHx,467,1,15032
A467w10.00_BHBL,BHBL,467,10,20862
A467w10.00_BHBLP,BHBLP,467,10,20860
A467w10.00_GShenFSU1.7,GShenFSU1.7,467,10,37749
A467w10.00_GShenFSU2.1,GShenFSU2.1,467,10,37749
A467w10.00_GShenNL3,GShenNL3,467,10,73313
A467w10.00_HSDD2,HSDD2,467,10,20887
A467w10.00_HSFSG,HSFSG,467,10,20884
A467w10.00_HSIUF,HSIUF,467,10,20863
A467w10.00_HSNL3,HSNL3,467,10,20883
